County,State,County FIPS Code,Opioid Dispensing Rate per 100,Year
ANCHORAGE,AK,2020,51.2,2018
FAIRBANKS NORTH STAR,AK,2090,36.8,2018
JUNEAU,AK,2110,54.9,2018
KENAI PENINSULA,AK,2122,76.3,2018
KETCHIKAN GATEWAY,AK,2130,58.6,2018
KODIAK ISLAND,AK,2150,23.2,2018
MATANUSKA SUSITNA,AK,2170,60.8,2018
PETERSBURG,AK,2195,65.0,2018
PRINCE OF WALES HYDER,AK,2198,29.0,2018
SITKA,AK,2220,0.1,2018
VALDEZ CORDOVA,AK,2261,23.6,2018
AUTAUGA,AL,1001,96.7,2018
BALDWIN,AL,1003,93.6,2018
BARBOUR,AL,1005,86.0,2018
BIBB,AL,1007,81.1,2018
BLOUNT,AL,1009,45.4,2018
BULLOCK,AL,1011,24.8,2018
BUTLER,AL,1013,106.0,2018
CALHOUN,AL,1015,129.9,2018
CHAMBERS,AL,1017,117.1,2018
CHEROKEE,AL,1019,129.2,2018
CHILTON,AL,1021,96.0,2018
CHOCTAW,AL,1023,67.4,2018
CLARKE,AL,1025,144.4,2018
CLAY,AL,1027,105.7,2018
CLEBURNE,AL,1029,38.2,2018
COFFEE,AL,1031,114.2,2018
COLBERT,AL,1033,167.0,2018
CONECUH,AL,1035,88.5,2018
COOSA,AL,1037,24.4,2018
COVINGTON,AL,1039,135.1,2018
CRENSHAW,AL,1041,59.8,2018
CULLMAN,AL,1043,126.7,2018
DALE,AL,1045,69.6,2018
DALLAS,AL,1047,82.0,2018
DE KALB,AL,1049,98.2,2018
ELMORE,AL,1051,98.5,2018
ESCAMBIA,AL,1053,137.4,2018
ETOWAH,AL,1055,126.1,2018
FAYETTE,AL,1057,92.2,2018
FRANKLIN,AL,1059,152.3,2018
GENEVA,AL,1061,38.9,2018
GREENE,AL,1063,36.8,2018
HALE,AL,1065,74.6,2018
HENRY,AL,1067,21.3,2018
HOUSTON,AL,1069,127.8,2018
JACKSON,AL,1071,130.5,2018
JEFFERSON,AL,1073,95.8,2018
LAMAR,AL,1075,82.0,2018
LAUDERDALE,AL,1077,100.8,2018
LAWRENCE,AL,1079,88.0,2018
LEE,AL,1081,52.2,2018
LIMESTONE,AL,1083,61.4,2018
MACON,AL,1087,42.4,2018
MADISON,AL,1089,85.4,2018
MARENGO,AL,1091,147.9,2018
MARION,AL,1093,140.2,2018
MARSHALL,AL,1095,151.9,2018
MOBILE,AL,1097,107.6,2018
MONROE,AL,1099,109.8,2018
MONTGOMERY,AL,1101,70.3,2018
MORGAN,AL,1103,108.9,2018
PERRY,AL,1105,0.1,2018
PICKENS,AL,1107,63.4,2018
PIKE,AL,1109,90.1,2018
RANDOLPH,AL,1111,86.0,2018
RUSSELL,AL,1113,92.9,2018
SAINT CLAIR,AL,1115,100.1,2018
SHELBY,AL,1117,81.2,2018
SUMTER,AL,1119,27.8,2018
TALLADEGA,AL,1121,108.5,2018
TALLAPOOSA,AL,1123,93.0,2018
TUSCALOOSA,AL,1125,89.1,2018
WALKER,AL,1127,204.8,2018
WASHINGTON,AL,1129,44.0,2018
WILCOX,AL,1131,50.9,2018
WINSTON,AL,1133,143.4,2018
ARKANSAS,AR,5001,110.4,2018
ASHLEY,AR,5003,100.7,2018
BAXTER,AR,5005,107.3,2018
BENTON,AR,5007,69.1,2018
BOONE,AR,5009,126.0,2018
BRADLEY,AR,5011,97.7,2018
CALHOUN,AR,5013,65.4,2018
CARROLL,AR,5015,70.3,2018
CHICOT,AR,5017,79.5,2018
CLARK,AR,5019,97.4,2018
CLAY,AR,5021,105.9,2018
CLEBURNE,AR,5023,102.7,2018
CLEVELAND,AR,5025,9.7,2018
COLUMBIA,AR,5027,93.9,2018
CONWAY,AR,5029,103.3,2018
CRAIGHEAD,AR,5031,125.8,2018
CRAWFORD,AR,5033,132.1,2018
CRITTENDEN,AR,5035,93.5,2018
CROSS,AR,5037,98.5,2018
DALLAS,AR,5039,74.2,2018
DESHA,AR,5041,102.2,2018
DREW,AR,5043,113.0,2018
FAULKNER,AR,5045,76.0,2018
FRANKLIN,AR,5047,13.7,2018
FULTON,AR,5049,98.9,2018
GARLAND,AR,5051,138.6,2018
GRANT,AR,5053,61.1,2018
GREENE,AR,5055,155.7,2018
HEMPSTEAD,AR,5057,100.9,2018
HOT SPRING,AR,5059,82.6,2018
HOWARD,AR,5061,138.0,2018
INDEPENDENCE,AR,5063,129.3,2018
IZARD,AR,5065,93.4,2018
JACKSON,AR,5067,115.6,2018
JEFFERSON,AR,5069,96.0,2018
JOHNSON,AR,5071,104.3,2018
LAFAYETTE,AR,5073,99.8,2018
LAWRENCE,AR,5075,27.0,2018
LEE,AR,5077,56.4,2018
LINCOLN,AR,5079,50.6,2018
LITTLE RIVER,AR,5081,145.3,2018
LOGAN,AR,5083,27.8,2018
LONOKE,AR,5085,85.5,2018
MADISON,AR,5087,69.5,2018
MARION,AR,5089,56.3,2018
MILLER,AR,5091,94.2,2018
MISSISSIPPI,AR,5093,125.5,2018
MONROE,AR,5095,75.6,2018
MONTGOMERY,AR,5097,74.4,2018
OUACHITA,AR,5103,123.8,2018
PERRY,AR,5105,48.3,2018
PHILLIPS,AR,5107,120.8,2018
PIKE,AR,5109,76.2,2018
POINSETT,AR,5111,109.2,2018
POLK,AR,5113,97.1,2018
POPE,AR,5115,95.3,2018
PRAIRIE,AR,5117,68.9,2018
PULASKI,AR,5119,87.1,2018
RANDOLPH,AR,5121,83.6,2018
SAINT FRANCIS,AR,5123,76.3,2018
SALINE,AR,5125,80.8,2018
SCOTT,AR,5127,110.0,2018
SEARCY,AR,5129,74.3,2018
SEBASTIAN,AR,5131,141.9,2018
SEVIER,AR,5133,43.4,2018
SHARP,AR,5135,116.3,2018
STONE,AR,5137,145.4,2018
UNION,AR,5139,107.1,2018
VAN BUREN,AR,5141,97.8,2018
WASHINGTON,AR,5143,76.2,2018
WHITE,AR,5145,98.6,2018
WOODRUFF,AR,5147,8.1,2018
YELL,AR,5149,55.2,2018
APACHE,AZ,4001,15.9,2018
COCHISE,AZ,4003,60.3,2018
COCONINO,AZ,4005,34.7,2018
GILA,AZ,4007,73.7,2018
GRAHAM,AZ,4009,66.2,2018
LA PAZ,AZ,4012,50.3,2018
MARICOPA,AZ,4013,48.6,2018
MOHAVE,AZ,4015,94.1,2018
NAVAJO,AZ,4017,56.5,2018
PIMA,AZ,4019,56.5,2018
PINAL,AZ,4021,40.2,2018
SANTA CRUZ,AZ,4023,16.6,2018
YAVAPAI,AZ,4025,71.9,2018
YUMA,AZ,4027,37.2,2018
ALAMEDA,CA,6001,22.0,2018
AMADOR,CA,6005,85.1,2018
BUTTE,CA,6007,89.4,2018
CALAVERAS,CA,6009,58.7,2018
COLUSA,CA,6011,30.9,2018
CONTRA COSTA,CA,6013,31.4,2018
DEL NORTE,CA,6015,97.3,2018
EL DORADO,CA,6017,47.2,2018
FRESNO,CA,6019,48.3,2018
GLENN,CA,6021,67.4,2018
HUMBOLDT,CA,6023,67.0,2018
IMPERIAL,CA,6025,44.1,2018
INYO,CA,6027,41.6,2018
KERN,CA,6029,48.5,2018
KINGS,CA,6031,54.5,2018
LAKE,CA,6033,77.3,2018
LASSEN,CA,6035,51.7,2018
LOS ANGELES,CA,6037,27.4,2018
MADERA,CA,6039,37.0,2018
MARIN,CA,6041,28.4,2018
MARIPOSA,CA,6043,47.6,2018
MENDOCINO,CA,6045,81.7,2018
MERCED,CA,6047,47.9,2018
MODOC,CA,6049,50.5,2018
MONO,CA,6051,37.9,2018
MONTEREY,CA,6053,38.2,2018
NAPA,CA,6055,32.1,2018
NEVADA,CA,6057,61.8,2018
ORANGE,CA,6059,33.8,2018
PLACER,CA,6061,49.3,2018
PLUMAS,CA,6063,66.6,2018
RIVERSIDE,CA,6065,39.8,2018
SACRAMENTO,CA,6067,38.2,2018
SAN BENITO,CA,6069,36.1,2018
SAN BERNARDINO,CA,6071,41.6,2018
SAN DIEGO,CA,6073,29.9,2018
SAN FRANCISCO,CA,6075,23.0,2018
SAN JOAQUIN,CA,6077,40.4,2018
SAN LUIS OBISPO,CA,6079,58.6,2018
SAN MATEO,CA,6081,23.8,2018
SANTA BARBARA,CA,6083,42.4,2018
SANTA CLARA,CA,6085,18.3,2018
SANTA CRUZ,CA,6087,41.6,2018
SHASTA,CA,6089,84.3,2018
SIERRA,CA,6091,5.5,2018
SISKIYOU,CA,6093,93.3,2018
SOLANO,CA,6095,31.8,2018
SONOMA,CA,6097,40.1,2018
STANISLAUS,CA,6099,65.6,2018
SUTTER,CA,6101,76.3,2018
TEHAMA,CA,6103,70.8,2018
TRINITY,CA,6105,72.7,2018
TULARE,CA,6107,51.2,2018
TUOLUMNE,CA,6109,85.8,2018
VENTURA,CA,6111,43.9,2018
YOLO,CA,6113,35.7,2018
YUBA,CA,6115,61.7,2018
ADAMS,CO,8001,39.7,2018
ALAMOSA,CO,8003,98.4,2018
ARAPAHOE,CO,8005,44.0,2018
ARCHULETA,CO,8007,59.1,2018
BACA,CO,8009,67.6,2018
BENT,CO,8011,34.3,2018
BOULDER,CO,8013,37.0,2018
BROOMFIELD,CO,8014,41.1,2018
CHAFFEE,CO,8015,71.9,2018
CHEYENNE,CO,8017,48.6,2018
CLEAR CREEK,CO,8019,27.3,2018
CONEJOS,CO,8021,0.0,2018
CROWLEY,CO,8025,23.1,2018
DELTA,CO,8029,65.6,2018
DENVER,CO,8031,29.2,2018
DOUGLAS,CO,8035,41.7,2018
EAGLE,CO,8037,33.4,2018
EL PASO,CO,8041,51.9,2018
ELBERT,CO,8039,27.4,2018
FREMONT,CO,8043,55.9,2018
GARFIELD,CO,8045,51.0,2018
GRAND,CO,8049,33.5,2018
GUNNISON,CO,8051,36.7,2018
HUERFANO,CO,8055,74.1,2018
JEFFERSON,CO,8059,53.2,2018
KIOWA,CO,8061,93.2,2018
KIT CARSON,CO,8063,45.0,2018
LA PLATA,CO,8067,42.5,2018
LAKE,CO,8065,39.2,2018
LARIMER,CO,8069,44.8,2018
LAS ANIMAS,CO,8071,100.8,2018
LINCOLN,CO,8073,34.2,2018
LOGAN,CO,8075,68.9,2018
MESA,CO,8077,59.5,2018
MOFFAT,CO,8081,75.8,2018
MONTEZUMA,CO,8083,63.8,2018
MONTROSE,CO,8085,65.8,2018
MORGAN,CO,8087,50.5,2018
OTERO,CO,8089,84.2,2018
OURAY,CO,8091,1.5,2018
PITKIN,CO,8097,17.9,2018
PROWERS,CO,8099,55.6,2018
PUEBLO,CO,8101,83.4,2018
RIO BLANCO,CO,8103,26.1,2018
RIO GRANDE,CO,8105,62.3,2018
ROUTT,CO,8107,40.0,2018
SAN MIGUEL,CO,8113,20.3,2018
SUMMIT,CO,8117,45.9,2018
TELLER,CO,8119,74.9,2018
WELD,CO,8123,40.6,2018
YUMA,CO,8125,47.0,2018
FAIRFIELD,CT,9001,33.8,2018
HARTFORD,CT,9003,43.3,2018
LITCHFIELD,CT,9005,47.0,2018
MIDDLESEX,CT,9007,49.6,2018
NEW HAVEN,CT,9009,48.6,2018
NEW LONDON,CT,9011,48.5,2018
TOLLAND,CT,9013,37.8,2018
WINDHAM,CT,9015,54.4,2018
DISTRICT OF COLUMBIA,DC,11001,25.0,2018
KENT,DE,10001,58.6,2018
NEW CASTLE,DE,10003,57.5,2018
SUSSEX,DE,10005,69.8,2018
ALACHUA,FL,12001,57.8,2018
BAKER,FL,12003,89.0,2018
BAY,FL,12005,97.5,2018
BRADFORD,FL,12007,70.4,2018
BREVARD,FL,12009,74.2,2018
BROWARD,FL,12011,39.0,2018
CALHOUN,FL,12013,65.8,2018
CHARLOTTE,FL,12015,66.5,2018
CITRUS,FL,12017,89.9,2018
CLAY,FL,12019,69.9,2018
COLLIER,FL,12021,45.4,2018
COLUMBIA,FL,12023,94.9,2018
DE SOTO,FL,12027,47.0,2018
DIXIE,FL,12029,39.1,2018
DUVAL,FL,12031,70.9,2018
ESCAMBIA,FL,12033,89.4,2018
FLAGLER,FL,12035,66.2,2018
FRANKLIN,FL,12037,55.6,2018
GADSDEN,FL,12039,46.0,2018
GILCHRIST,FL,12041,37.1,2018
GLADES,FL,12043,3.8,2018
GULF,FL,12045,81.2,2018
HAMILTON,FL,12047,33.8,2018
HARDEE,FL,12049,31.5,2018
HENDRY,FL,12051,56.0,2018
HERNANDO,FL,12053,91.9,2018
HIGHLANDS,FL,12055,65.7,2018
HILLSBOROUGH,FL,12057,52.6,2018
HOLMES,FL,12059,70.9,2018
INDIAN RIVER,FL,12061,81.2,2018
JACKSON,FL,12063,91.0,2018
JEFFERSON,FL,12065,39.9,2018
LAFAYETTE,FL,12067,42.3,2018
LAKE,FL,12069,65.0,2018
LEE,FL,12071,55.1,2018
LEON,FL,12073,57.0,2018
LEVY,FL,12075,86.1,2018
LIBERTY,FL,12077,33.3,2018
MADISON,FL,12079,71.6,2018
MANATEE,FL,12081,62.4,2018
MARION,FL,12083,73.2,2018
MARTIN,FL,12085,64.8,2018
MIAMI-DADE,FL,12086,24.1,2018
MONROE,FL,12087,64.9,2018
NASSAU,FL,12089,86.2,2018
OKALOOSA,FL,12091,65.9,2018
OKEECHOBEE,FL,12093,86.3,2018
ORANGE,FL,12095,36.0,2018
OSCEOLA,FL,12097,39.8,2018
PALM BEACH,FL,12099,48.3,2018
PASCO,FL,12101,71.2,2018
PINELLAS,FL,12103,67.2,2018
POLK,FL,12105,58.8,2018
PUTNAM,FL,12107,87.5,2018
SAINT JOHNS,FL,12109,51.2,2018
SAINT LUCIE,FL,12111,54.8,2018
SANTA ROSA,FL,12113,77.4,2018
SARASOTA,FL,12115,65.8,2018
SEMINOLE,FL,12117,45.8,2018
SUMTER,FL,12119,65.6,2018
SUWANNEE,FL,12121,72.2,2018
TAYLOR,FL,12123,103.3,2018
UNION,FL,12125,46.8,2018
VOLUSIA,FL,12127,64.3,2018
WAKULLA,FL,12129,67.8,2018
WALTON,FL,12131,74.8,2018
WASHINGTON,FL,12133,108.9,2018
APPLING,GA,13001,103.3,2018
ATKINSON,GA,13003,56.8,2018
BACON,GA,13005,172.7,2018
BALDWIN,GA,13009,81.1,2018
BANKS,GA,13011,39.5,2018
BARROW,GA,13013,68.4,2018
BARTOW,GA,13015,87.4,2018
BEN HILL,GA,13017,162.5,2018
BERRIEN,GA,13019,47.3,2018
BIBB,GA,13021,107.2,2018
BLECKLEY,GA,13023,110.5,2018
BRANTLEY,GA,13025,47.5,2018
BROOKS,GA,13027,87.6,2018
BRYAN,GA,13029,69.0,2018
BULLOCH,GA,13031,68.6,2018
BURKE,GA,13033,66.5,2018
BUTTS,GA,13035,68.1,2018
CALHOUN,GA,13037,0.1,2018
CAMDEN,GA,13039,54.4,2018
CANDLER,GA,13043,135.1,2018
CARROLL,GA,13045,100.3,2018
CATOOSA,GA,13047,91.8,2018
CHARLTON,GA,13049,87.2,2018
CHATHAM,GA,13051,69.1,2018
CHATTOOGA,GA,13055,106.2,2018
CHEROKEE,GA,13057,56.4,2018
CLARKE,GA,13059,81.2,2018
CLAY,GA,13061,32.3,2018
CLAYTON,GA,13063,34.1,2018
CLINCH,GA,13065,132.3,2018
COBB,GA,13067,47.1,2018
COFFEE,GA,13069,155.4,2018
COLQUITT,GA,13071,80.1,2018
COLUMBIA,GA,13073,62.8,2018
COOK,GA,13075,97.7,2018
COWETA,GA,13077,68.2,2018
CRAWFORD,GA,13079,6.3,2018
CRISP,GA,13081,160.7,2018
DADE,GA,13083,51.1,2018
DAWSON,GA,13085,130.8,2018
DECATUR,GA,13087,109.1,2018
DEKALB,GA,13089,35.4,2018
DODGE,GA,13091,73.0,2018
DOOLY,GA,13093,0.0,2018
DOUGHERTY,GA,13095,90.4,2018
DOUGLAS,GA,13097,75.4,2018
EARLY,GA,13099,108.6,2018
EFFINGHAM,GA,13103,62.0,2018
ELBERT,GA,13105,130.6,2018
EMANUEL,GA,13107,95.9,2018
EVANS,GA,13109,90.6,2018
FANNIN,GA,13111,122.1,2018
FAYETTE,GA,13113,74.5,2018
FLOYD,GA,13115,121.8,2018
FORSYTH,GA,13117,41.3,2018
FRANKLIN,GA,13119,112.4,2018
FULTON,GA,13121,38.3,2018
GILMER,GA,13123,112.7,2018
GLYNN,GA,13127,78.2,2018
GORDON,GA,13129,95.6,2018
GRADY,GA,13131,66.5,2018
GREENE,GA,13133,104.3,2018
GWINNETT,GA,13135,38.1,2018
HABERSHAM,GA,13137,87.2,2018
HALL,GA,13139,77.6,2018
HANCOCK,GA,13141,37.7,2018
HARALSON,GA,13143,158.1,2018
HARRIS,GA,13145,5.7,2018
HART,GA,13147,90.7,2018
HEARD,GA,13149,0.0,2018
HENRY,GA,13151,63.3,2018
HOUSTON,GA,13153,76.8,2018
IRWIN,GA,13155,59.7,2018
JACKSON,GA,13157,97.4,2018
JASPER,GA,13159,47.7,2018
JEFF DAVIS,GA,13161,72.5,2018
JEFFERSON,GA,13163,91.3,2018
JENKINS,GA,13165,16.9,2018
JONES,GA,13169,45.5,2018
LAMAR,GA,13171,67.1,2018
LANIER,GA,13173,66.4,2018
LAURENS,GA,13175,100.6,2018
LEE,GA,13177,40.4,2018
LIBERTY,GA,13179,46.5,2018
LINCOLN,GA,13181,30.1,2018
LOWNDES,GA,13185,83.5,2018
LUMPKIN,GA,13187,66.9,2018
MACON,GA,13193,68.9,2018
MADISON,GA,13195,77.1,2018
MARION,GA,13197,16.6,2018
MCDUFFIE,GA,13189,118.5,2018
MCINTOSH,GA,13191,45.4,2018
MERIWETHER,GA,13199,71.9,2018
MILLER,GA,13201,90.4,2018
MITCHELL,GA,13205,90.6,2018
MONROE,GA,13207,59.7,2018
MONTGOMERY,GA,13209,30.8,2018
MORGAN,GA,13211,62.0,2018
MURRAY,GA,13213,76.5,2018
MUSCOGEE,GA,13215,75.7,2018
NEWTON,GA,13217,66.3,2018
OCONEE,GA,13219,55.7,2018
OGLETHORPE,GA,13221,33.1,2018
PAULDING,GA,13223,46.4,2018
PEACH,GA,13225,71.9,2018
PICKENS,GA,13227,101.9,2018
PIERCE,GA,13229,55.4,2018
PIKE,GA,13231,10.0,2018
POLK,GA,13233,138.5,2018
PULASKI,GA,13235,82.6,2018
PUTNAM,GA,13237,53.7,2018
RABUN,GA,13241,144.7,2018
RANDOLPH,GA,13243,109.5,2018
RICHMOND,GA,13245,64.3,2018
ROCKDALE,GA,13247,67.5,2018
SCHLEY,GA,13249,0.0,2018
SCREVEN,GA,13251,59.4,2018
SEMINOLE,GA,13253,155.3,2018
SPALDING,GA,13255,109.4,2018
STEPHENS,GA,13257,146.4,2018
STEWART,GA,13259,52.2,2018
SUMTER,GA,13261,99.7,2018
TATTNALL,GA,13267,69.3,2018
TAYLOR,GA,13269,76.0,2018
TELFAIR,GA,13271,60.8,2018
TERRELL,GA,13273,30.7,2018
THOMAS,GA,13275,97.7,2018
TIFT,GA,13277,125.0,2018
TOOMBS,GA,13279,109.9,2018
TOWNS,GA,13281,81.8,2018
TREUTLEN,GA,13283,59.4,2018
TROUP,GA,13285,87.0,2018
TURNER,GA,13287,84.2,2018
TWIGGS,GA,13289,0.0,2018
UNION,GA,13291,95.2,2018
UPSON,GA,13293,135.3,2018
WALKER,GA,13295,42.0,2018
WALTON,GA,13297,86.7,2018
WARE,GA,13299,194.8,2018
WASHINGTON,GA,13303,69.9,2018
WAYNE,GA,13305,115.5,2018
WEBSTER,GA,13307,62.0,2018
WHEELER,GA,13309,10.2,2018
WHITE,GA,13311,83.6,2018
WHITFIELD,GA,13313,75.7,2018
WILCOX,GA,13315,0.0,2018
WILKES,GA,13317,109.0,2018
WILKINSON,GA,13319,73.7,2018
WORTH,GA,13321,78.8,2018
HAWAII,HI,15001,53.6,2018
HONOLULU,HI,15003,26.9,2018
KAUAI,HI,15007,40.0,2018
MAUI,HI,15009,44.5,2018
ADAIR,IA,19001,36.7,2018
ADAMS,IA,19003,53.7,2018
ALLAMAKEE,IA,19005,26.3,2018
APPANOOSE,IA,19007,90.4,2018
AUDUBON,IA,19009,67.1,2018
BENTON,IA,19011,7.9,2018
BLACK HAWK,IA,19013,58.9,2018
BOONE,IA,19015,47.7,2018
BREMER,IA,19017,37.4,2018
BUCHANAN,IA,19019,29.0,2018
BUENA VISTA,IA,19021,32.2,2018
BUTLER,IA,19023,15.7,2018
CALHOUN,IA,19025,61.8,2018
CARROLL,IA,19027,73.9,2018
CASS,IA,19029,79.2,2018
CEDAR,IA,19031,15.7,2018
CERRO GORDO,IA,19033,65.4,2018
CHEROKEE,IA,19035,31.3,2018
CHICKASAW,IA,19037,18.6,2018
CLARKE,IA,19039,79.5,2018
CLAY,IA,19041,89.8,2018
CLAYTON,IA,19043,14.3,2018
CLINTON,IA,19045,63.6,2018
CRAWFORD,IA,19047,49.4,2018
DALLAS,IA,19049,19.8,2018
DAVIS,IA,19051,36.1,2018
DECATUR,IA,19053,54.2,2018
DELAWARE,IA,19055,39.2,2018
DES MOINES,IA,19057,75.4,2018
DICKINSON,IA,19059,64.5,2018
DUBUQUE,IA,19061,50.2,2018
EMMET,IA,19063,45.7,2018
FAYETTE,IA,19065,53.8,2018
FLOYD,IA,19067,48.2,2018
FREMONT,IA,19071,33.0,2018
GREENE,IA,19073,70.8,2018
GRUNDY,IA,19075,35.0,2018
GUTHRIE,IA,19077,36.5,2018
HAMILTON,IA,19079,50.4,2018
HARDIN,IA,19083,57.7,2018
HARRISON,IA,19085,46.9,2018
HENRY,IA,19087,54.7,2018
HOWARD,IA,19089,23.9,2018
HUMBOLDT,IA,19091,47.0,2018
IDA,IA,19093,62.8,2018
IOWA,IA,19095,28.0,2018
JACKSON,IA,19097,28.2,2018
JASPER,IA,19099,51.0,2018
JEFFERSON,IA,19101,72.6,2018
JOHNSON,IA,19103,24.8,2018
JONES,IA,19105,25.8,2018
KOSSUTH,IA,19109,31.3,2018
LEE,IA,19111,94.0,2018
LINN,IA,19113,46.5,2018
LOUISA,IA,19115,19.6,2018
LUCAS,IA,19117,77.0,2018
LYON,IA,19119,22.2,2018
MADISON,IA,19121,62.9,2018
MAHASKA,IA,19123,60.8,2018
MARION,IA,19125,52.1,2018
MARSHALL,IA,19127,57.2,2018
MILLS,IA,19129,39.6,2018
MITCHELL,IA,19131,24.6,2018
MONONA,IA,19133,80.8,2018
MONROE,IA,19135,66.1,2018
MONTGOMERY,IA,19137,101.8,2018
MUSCATINE,IA,19139,48.8,2018
OBRIEN,IA,19141,51.6,2018
OSCEOLA,IA,19143,28.8,2018
PAGE,IA,19145,88.2,2018
PALO ALTO,IA,19147,27.8,2018
PLYMOUTH,IA,19149,39.6,2018
POCAHONTAS,IA,19151,47.7,2018
POLK,IA,19153,58.5,2018
POTTAWATTAMIE,IA,19155,68.6,2018
POWESHIEK,IA,19157,44.4,2018
RINGGOLD,IA,19159,60.7,2018
SAC,IA,19161,15.6,2018
SCOTT,IA,19163,55.2,2018
SHELBY,IA,19165,48.5,2018
SIOUX,IA,19167,21.2,2018
STORY,IA,19169,31.8,2018
TAMA,IA,19171,26.9,2018
UNION,IA,19175,104.5,2018
VAN BUREN,IA,19177,24.9,2018
WAPELLO,IA,19179,76.2,2018
WARREN,IA,19181,41.9,2018
WASHINGTON,IA,19183,39.2,2018
WAYNE,IA,19185,56.0,2018
WEBSTER,IA,19187,65.3,2018
WINNEBAGO,IA,19189,46.2,2018
WINNESHIEK,IA,19191,38.4,2018
WOODBURY,IA,19193,61.7,2018
WORTH,IA,19195,0.1,2018
WRIGHT,IA,19197,41.5,2018
ADA,ID,16001,53.8,2018
BANNOCK,ID,16005,82.4,2018
BEAR LAKE,ID,16007,97.3,2018
BENEWAH,ID,16009,72.2,2018
BINGHAM,ID,16011,56.6,2018
BLAINE,ID,16013,36.8,2018
BONNER,ID,16017,53.6,2018
BONNEVILLE,ID,16019,75.6,2018
BOUNDARY,ID,16021,86.1,2018
BUTTE,ID,16023,75.0,2018
CANYON,ID,16027,58.8,2018
CARIBOU,ID,16029,97.5,2018
CASSIA,ID,16031,82.4,2018
CLEARWATER,ID,16035,75.8,2018
CUSTER,ID,16037,20.5,2018
ELMORE,ID,16039,56.9,2018
FRANKLIN,ID,16041,63.4,2018
FREMONT,ID,16043,28.8,2018
GEM,ID,16045,91.1,2018
GOODING,ID,16047,44.5,2018
IDAHO,ID,16049,38.2,2018
JEFFERSON,ID,16051,33.3,2018
JEROME,ID,16053,56.8,2018
KOOTENAI,ID,16055,76.9,2018
LATAH,ID,16057,49.7,2018
LEMHI,ID,16059,84.4,2018
LEWIS,ID,16061,0.3,2018
LINCOLN,ID,16063,18.2,2018
MADISON,ID,16065,44.0,2018
MINIDOKA,ID,16067,26.3,2018
NEZ PERCE,ID,16069,107.3,2018
ONEIDA,ID,16071,87.6,2018
OWYHEE,ID,16073,27.2,2018
PAYETTE,ID,16075,41.9,2018
