State,County,County FIPS Code,State FIPS code,Opioid Dispensing Rate per 100,Year
AL,AUTAUGA,1001,1,98.3,2020
AL,BALDWIN,1003,1,65.0,2020
AL,BARBOUR,1005,1,22.8,2020
AL,BIBB,1007,1,24.8,2020
AL,BLOUNT,1009,1,22.8,2020
AL,BULLOCK,1011,1,22.0,2020
AL,BUTLER,1013,1,35.1,2020
AL,CALHOUN,1015,1,97.9,2020
AL,CHAMBERS,1017,1,60.5,2020
AL,CHEROKEE,1019,1,50.6,2020
AL,CHILTON,1021,1,39.3,2020
AL,CHOCTAW,1023,1,37.8,2020
AL,CLARKE,1025,1,65.9,2020
AL,CLAY,1027,1,81.7,2020
AL,CLEBURNE,1029,1,5.7,2020
AL,COFFEE,1031,1,74.4,2020
AL,COLBERT,1033,1,150.0,2020
AL,CONECUH,1035,1,113.3,2020
AL,COOSA,1037,1,0.0,2020
AL,COVINGTON,1039,1,85.3,2020
AL,CRENSHAW,1041,1,33.4,2020
AL,CULLMAN,1043,1,81.1,2020
AL,DALE,1045,1,31.8,2020
AL,DALLAS,1047,1,62.7,2020
AL,DE KALB,1049,1,64.3,2020
AL,ELMORE,1051,1,26.8,2020
AL,ESCAMBIA,1053,1,81.2,2020
AL,ETOWAH,1055,1,102.8,2020
AL,FAYETTE,1057,1,53.6,2020
AL,FRANKLIN,1059,1,89.4,2020
AL,GENEVA,1061,1,17.0,2020
AL,GREENE,1063,1,16.5,2020
AL,HALE,1065,1,22.6,2020
AL,HENRY,1067,1,46.2,2020
AL,HOUSTON,1069,1,136.5,2020
AL,JACKSON,1071,1,71.7,2020
AL,JEFFERSON,1073,1,139.0,2020
AL,LAMAR,1075,1,10.7,2020
AL,LAUDERDALE,1077,1,57.3,2020
AL,LAWRENCE,1079,1,28.3,2020
AL,LEE,1081,1,35.4,2020
AL,LIMESTONE,1083,1,26.9,2020
AL,LOWNDES,1085,1,8.3,2020
AL,MACON,1087,1,11.3,2020
AL,MADISON,1089,1,87.3,2020
AL,MARENGO,1091,1,58.8,2020
AL,MARION,1093,1,106.0,2020
AL,MARSHALL,1095,1,92.2,2020
AL,MOBILE,1097,1,98.0,2020
AL,MONROE,1099,1,53.7,2020
AL,MONTGOMERY,1101,1,86.3,2020
AL,MORGAN,1103,1,67.9,2020
AL,PERRY,1105,1,17.3,2020
AL,PICKENS,1107,1,43.7,2020
AL,PIKE,1109,1,38.5,2020
AL,RANDOLPH,1111,1,47.0,2020
AL,RUSSELL,1113,1,35.9,2020
AL,SAINT CLAIR,1115,1,63.0,2020
AL,SHELBY,1117,1,64.6,2020
AL,SUMTER,1119,1,41.9,2020
AL,TALLADEGA,1121,1,39.7,2020
AL,TALLAPOOSA,1123,1,43.4,2020
AL,TUSCALOOSA,1125,1,86.6,2020
AL,WALKER,1127,1,123.0,2020
AL,WASHINGTON,1129,1,29.4,2020
AL,WILCOX,1131,1,16.0,2020
AL,WINSTON,1133,1,65.0,2020
AK,ALEUTIANS EAST,2013,2,9.6,2020
AK,ALEUTIANS WEST,2016,2,2.1,2020
AK,ANCHORAGE,2020,2,47.2,2020
AK,BETHEL,2050,2,8.8,2020
AK,BRISTOL BAY,2060,2,6.4,2020
AK,DENALI,2068,2,5.2,2020
AK,DILLINGHAM,2070,2,1.7,2020
AK,FAIRBANKS NORTH STAR,2090,2,29.7,2020
AK,HAINES,2100,2,0.5,2020
AK,HOONAH ANGOON,2105,2,3.0,2020
AK,JUNEAU,2110,2,29.2,2020
AK,KENAI PENINSULA,2122,2,47.3,2020
AK,KETCHIKAN GATEWAY,2130,2,49.5,2020
AK,KODIAK ISLAND,2150,2,18.0,2020
AK,KUSILVAK,2158,2,1.0,2020
AK,MATANUSKA SUSITNA,2170,2,38.0,2020
AK,NOME,2180,2,3.0,2020
AK,NORTH SLOPE,2185,2,2.2,2020
AK,NORTHWEST ARCTIC,2188,2,11.2,2020
AK,PETERSBURG,2195,2,67.0,2020
AK,PRINCE OF WALES HYDER,2198,2,18.0,2020
AK,SITKA,2220,2,14.8,2020
AK,SKAGWAY,2230,2,10.4,2020
AK,SOUTHEAST FAIRBANKS,2240,2,14.1,2020
AK,WRANGELL,2275,2,3.9,2020
AK,YAKUTAT,2282,2,8.1,2020
AK,YUKON KOYUKUK,2290,2,2.6,2020
AZ,APACHE,4001,4,4.9,2020
AZ,COCHISE,4003,4,34.4,2020
AZ,COCONINO,4005,4,32.2,2020
AZ,GILA,4007,4,42.8,2020
AZ,GRAHAM,4009,4,51.6,2020
AZ,GREENLEE,4011,4,1.6,2020
AZ,LA PAZ,4012,4,14.8,2020
AZ,MARICOPA,4013,4,42.4,2020
AZ,MOHAVE,4015,4,66.4,2020
AZ,NAVAJO,4017,4,43.6,2020
AZ,PIMA,4019,4,46.9,2020
AZ,PINAL,4021,4,10.5,2020
AZ,SANTA CRUZ,4023,4,5.9,2020
AZ,YAVAPAI,4025,4,48.6,2020
AZ,YUMA,4027,4,28.2,2020
AR,ARKANSAS,5001,5,70.7,2020
AR,ASHLEY,5003,5,26.0,2020
AR,BAXTER,5005,5,136.7,2020
AR,BENTON,5007,5,37.1,2020
AR,BOONE,5009,5,67.2,2020
AR,BRADLEY,5011,5,73.8,2020
AR,CALHOUN,5013,5,15.3,2020
AR,CARROLL,5015,5,37.4,2020
AR,CHICOT,5017,5,90.0,2020
AR,CLARK,5019,5,54.7,2020
AR,CLAY,5021,5,72.7,2020
AR,CLEBURNE,5023,5,53.9,2020
AR,CLEVELAND,5025,5,4.9,2020
AR,COLUMBIA,5027,5,51.7,2020
AR,CONWAY,5029,5,38.2,2020
AR,CRAIGHEAD,5031,5,164.0,2020
AR,CRAWFORD,5033,5,51.4,2020
AR,CRITTENDEN,5035,5,59.6,2020
AR,CROSS,5037,5,59.7,2020
AR,DALLAS,5039,5,31.6,2020
AR,DESHA,5041,5,85.2,2020
AR,DREW,5043,5,91.2,2020
AR,FAULKNER,5045,5,64.0,2020
AR,FRANKLIN,5047,5,40.2,2020
AR,FULTON,5049,5,62.1,2020
AR,GARLAND,5051,5,112.9,2020
AR,GRANT,5053,5,12.6,2020
AR,GREENE,5055,5,98.8,2020
AR,HEMPSTEAD,5057,5,40.0,2020
AR,HOT SPRING,5059,5,38.0,2020
AR,HOWARD,5061,5,58.5,2020
AR,INDEPENDENCE,5063,5,132.5,2020
AR,IZARD,5065,5,70.5,2020
AR,JACKSON,5067,5,55.0,2020
AR,JEFFERSON,5069,5,98.7,2020
AR,JOHNSON,5071,5,52.3,2020
AR,LAFAYETTE,5073,5,91.5,2020
AR,LAWRENCE,5075,5,45.2,2020
AR,LEE,5077,5,82.0,2020
AR,LINCOLN,5079,5,11.1,2020
AR,LITTLE RIVER,5081,5,96.4,2020
AR,LOGAN,5083,5,24.6,2020
AR,LONOKE,5085,5,16.9,2020
AR,MADISON,5087,5,29.5,2020
AR,MARION,5089,5,7.2,2020
AR,MILLER,5091,5,83.4,2020
AR,MISSISSIPPI,5093,5,59.5,2020
AR,MONROE,5095,5,5.9,2020
AR,MONTGOMERY,5097,5,80.6,2020
AR,NEVADA,5099,5,21.7,2020
AR,NEWTON,5101,5,1.4,2020
AR,OUACHITA,5103,5,70.7,2020
AR,PERRY,5105,5,12.0,2020
